node_id,latitude,longitude,address,city
ZRBYGP2PGD7G1RG1ZFQH,Unknown,41.09772,0.648795,"Plaça De Catalunya, 15, 43770 Móra La Nova, Tarragona, Spain",Móra la Nova
B1AHFW6O8THGO19NG91G,Unknown,41.10044,0.653326,Carrer Imperial Tarraco 2,Móra la Nova
Z4YQCYCXHYYNX0HRRQYM,Unknown,39.379795,3.226912,"Av. Dels Benvinguts, 34, 07660 Santanyí, Illes Balears, Spain",Santanyí
XAA3QV9IWKZUSXX5NAD5,Unknown,41.08972,0.643364,"Av. De Les Comarques Catalanes, 2, 43740 Móra D'ebre, Tarragona, Spain",Móra d'Ebre
3QIFLNAJWBTWFF7CZVNL,Unknown,41.783764,1.28736,"Carrer Dels Ametllers, 2, 25210 Guissona, Lleida, Spain",Guissona
9ZYALEFWF72NIP8JIEXY,Ajuntament de Guissona - SELBA EdRSR 1,41.78422,1.296582,"Rambla Dels Segadors, S/N",Guissona
YNCC3WYKHMKKNKYUG7WY,Unknown,39.648304,2.756531,"Cr C-713, 13,1",Santa María del Camí
EKJ36TZMECMIXRSFJSM0,Unknown,39.625546,2.723926,"Carrer Gerrers, 52, Parcela 194",Marratxí
9PO9IHK2HJIH5GM7EEIY,Unknown,41.557182,2.252292,"Carrer De Vic, 101, 08160 Montmeló, Barcelona, Spain",Montmeló
B3TIK5VS3NVPTF3JOC59,Unknown,39.711952,2.902039,"Calle Del Gral. Luque, 448,",Inca
FYBZ2Y3LCRLLYWKAMLD8,Unknown,41.861305,1.873758,"Carr. De Moià, 4, 08660 Balsareny, Barcelona, Spain",Balsareny
R2RY0OPDYUR33N8G3SF4,Unknown,41.599754,2.028403,"Passeig D'àngel Guimerà, 28",Matadepera
EUAA4ZNWNEJ8DSSCQZYW,Unknown,40.596043,0.449434,"Passeig Estació, 33D, 43550 Ulldecona, Tarragona, Spain","Borges del Camp, Les"
Y1UPGCHFGISMOK3JV8AY,Urban T22 - C/ Joan Paloma - CIRCUTOR EdRSR - Ajuntament de  Matadepera,41.59697,2.026501,"Plaça Ajuntament, 08230, Barcelona",Matadepera
5NZGPL7H10C6FV4PIAMS,Ajuntament de  Matadepera - CIRCUTOR EdRSR 2,41.59591,2.030154,"Av. Mas Sot 38, Amb C. St Quirze,",Matadepera
ZLL5EUQKGMC1HLMFHN5W,Unknown,41.59913,2.090367,"Carrer De La Segarra, 4",Castellar del Vallès
OXRDJ891ROLLDQOXQV3M,Unknown,41.599117,2.090367,"Carrer De La Segarra, 4",Castellar del Vallès
U7MEB1JUL1PB1UXVBBGE,Unknown,41.531235,1.381736,"Carr. De Montblanc, 8B, 43420 Santa Coloma De Queralt, Tarragona, Spain",Santa Coloma de Queralt
PBTBBIA7UZV8FHUBTLNY,Unknown,41.59911,2.090367,"Carrer De La Segarra, 4",Castellar del Vallès
H7TTHFW6JYC1IDGIT9VF,Unknown,41.5991,2.090367,"Carrer De La Segarra, 4",Castellar del Vallès
1M5R6GRZJ7Z94HYCJX3H,Unknown,41.599136,2.090367,"Carrer De La Segarra, 4",Castellar del Vallès
HFQOQ4EXLVGGAOWJI0YA,Unknown,41.599087,2.090367,"Carrer De La Segarra, 4",Castellar del Vallès
ZHFI4XOEI8BZ2DDWZG2K,Unknown,42.12587,2.762317,"C-150A, 17820 Bañolas, Girona, Spain",Banyoles
DV1EMORBVPWDL4RSOBVV,Unknown,42.117718,2.756792,"Passeig De Mossèn Lluís Constans, 4, 17820 Banyoles, Girona, Spain",Banyoles
U38JSHGM1UO0X74U4HLL,Ajuntament de Banyoles - SELBA EdRSR 2,42.11912,2.764765,"Plaça Dels Estudis, 2, 17820 Banyoles, Girona, Spain",Banyoles
